day,2012,2013,2014,2015,2016,2017,2018,2019,2020
127,0.09584,0.057,0.03022,0.19616,0.10469,0.09,0.159,0.051,0.1171
128,0.14429,0.052,0.2678,0.58013,0.10651,0.094,0.161,0.263,0.23781
129,0.11451,0.096,0.09063,0.18893,0.15736,0.093,0.154,0.145,0.15223
130,0.10742,0.086,0.06529,0.67469,0.177,0.096,0.153,0.143,0.12593
131,0.32664,0.064,0.06252,0.28262,0.15086,0.109,0.16,0.514,0.12002
132,0.26488,0.052,0.2625,0.23809,0.22463,0.111,0.156,0.296,0.27791
133,0.16119,0.049,0.18202,0.46944,0.11107,0.112,0.186,0.274,0.20032
134,0.13661,0.038,0.1779,0.3135,0.10704,0.102,0.184,0.296,0.18199
135,0.11425,0.087,0.10651,0.25405,0.10923,0.098,0.188,0.315,0.17713
136,0.11747,0.261,0.08945,0.2361,0.10262,0.104,0.173,0.353,0.99413
137,0.1129,0.051,0.09102,1.00705,0.10878,0.153,0.175,0.403,0.71519
138,0.12033,0.037,0.09204,0.32655,0.10524,0.133,0.182,3.221,0.36239
139,0.10957,0.026,0.07978,0.29235,0.19468,0.112,0.179,1.244,0.32801
140,0.10326,0.019,0.07447,0.25,0.10083,0.163,0.481,1.13,0.30148
141,0.10402,0.058,0.08172,0.37607,0.07563,0.153,0.302,1.236,0.30049
142,0.10048,0.037,0.08662,0.3716,0.06328,0.237,0.232,0.845,0.33927
143,0.09332,0.032,0.08772,0.34646,0.169,0.243,0.201,0.676,1.34296
144,0.09224,0.043,0.10323,1.0287,0.09015,0.171,0.178,0.627,0.68235
145,0.0866,0.14,0.43629,0.48417,0.08746,0.138,0.318,0.554,1.39667
146,0.09786,0.117,0.31274,0.35369,0.10212,0.137,0.268,0.538,0.843
147,0.10004,0.075,0.29202,0.31306,0.32321,0.116,0.218,0.491,0.60185
148,0.11121,0.07,0.35962,0.26876,0.16428,0.303,0.193,0.465,0.51234
149,0.32968,0.071,0.22598,1.55932,0.38106,0.176,0.182,1.509,0.4286
150,0.74919,0.08,0.22066,1.46991,0.48759,0.141,0.175,0.834,0.36791
151,0.53484,0.065,0.21867,0.42832,1.06935,0.136,0.174,0.556,0.32628
152,0.24178,0.062,0.237,0.32928,0.57858,0.398,0.155,1.641,0.3325
153,0.20385,0.056,0.18973,0.3083,0.92917,1.27,0.137,1.036,0.3076
154,0.17756,0.045,0.18534,0.24796,0.62159,1.141,0.168,0.735,0.2833
155,0.16175,0.057,0.17738,0.22424,0.35541,0.446,0.773,0.642,0.22994
156,0.19273,0.059,0.16187,0.22601,0.29669,0.695,0.304,0.634,0.23578
157,0.92114,0.264,0.15898,0.20147,0.25862,0.311,0.517,0.594,0.23713
